	sentence	label
13657	sam jones became a very opportunities filmmaker the day wilco got dropped from their record label , proving that one man 's ruin may be another 's fortune	3
6482	crackerjack amusement nonstop romance , music , waiting and action	5
4205	del crimen el priest amaro would likely be most effective if used as a arrangement to boom combat ecclesiastical protests	6
3009	one of the greatest silly horror movies of recent memory , with some real shocks in store for unwary viewers	3
10272	a pretentious mess	4
15172	bright , intelligent , and humanely funny film	5
12017	cosy and panoramic	7
9592	on top of a foundering performance , madonna 's denied her own athleticism by lighting that emphasizes every line and sag	0
10645	clayburgh and tambor are charming storytellers neither of them warrants eric metzger	6
2738	while broomfield 's film does n't capture the effect of these dramatic deaths on hip hop culture , it succeeds as a powerful look at a flaw of our justice system	5
12769	a perplexing retold well told	7
7472	harsh , vulgar and forgettably entertaining	4
14723	fisher have shuddered his minds and faces his own flaws here in a path that feels very humans and extremely true to existence	7
3162	a charming , banter filled comedy one of those airy cinematic bon bons whose aims and by extension , accomplishments seem deceptively slight on the surface	1
4383	those with an sake in recent or singular sorts of film experiencing goes deems what time is it there \ ? well praiseworthy the period	7
10077	lighthearted and gently comical even as the film breaks your herz	3
3671	nair stuffs the movie with dancing , tincture , beautification , and reunion tunes , but her autobiographical clich s and intimating episodes flavor of old soaps cinema	2
14901	smarter , problematic and blisteringly bizarre	3
549	behan himself knew how to spin a tale and one ca n't help but think he 'd thankful this attempt to turn his life into artwork	3
14493	enjoyable gentle damn , could the screenwriters just do a cut and paste of every amiss action movie linea in history \ ?	6
10637	not once want it get tightest to being exhilarating	2
11606	allen 's underestimated charm delivers more goodies than lumps of coal	1
308	a small autonomy film suffering from a severe case of hollywood itis	4
3859	not only does the keenly formulaic films represent vitally exemplify halfway of the road mainstream , it also implicates elegant hollywood at its laziest	2
4961	gooding is the active frontman , and it 's troublesome to resist his enthusiasm , even if the filmmakers come up with nothing originality in the way of slapstick sequences	7
11645	rare funniest , satisfactorily filmed and , importantly , fooling , heil house is a interesting files of an event that has to be vu to be believed	7
5916	thanks to confident filmmaking and a pairs of interesting performances , the mode to that destination is a really special walk in the woods	5
2923	the whole facet victorious only in taking me giddy	6
5066	a strong and confident work which works so well for the first 89 minutes , but ends so horrendously confusing in the final two	1
324	hill looks to be going through the motions , beginning with the pale scripts	4
7166	the urban environments are thorough down to the billboard on the kiosks , and the color palette , with lots of somber blues and pinks , is dreamy and evocative	5
13352	narc is all menace and atmosphere	4
388	it may not be a huge cut of above the rest , but i enjoyed barbershop it 's a funny little movie with clever dialogue and likeable characters	1
8617	knockaround guys participates iike a student film by two guys who desperately want to be quentin tarantino when they grow up but they rarity their idol 's energy and passion for detail	2
14997	a incredibly loopy tale of love , longing , and voting	3
1847	the conspiracy squeezes on with yawn awaking palpitations	6
10873	i enamored it , particularly that unexpected downer of an ending	3
10492	sometimes this 'blood' seems as tired as its protagonist still , the pulse never disappears entirely , and the picture crosses the finish line winded but still game	1
3181	if you 're looking for comedy to be accomplished up , nice look elsewhere	6
5038	eight legged freaks is clever and funny , is amused by its special effects , and leaves you feeling like you 've seen a movie instead of an endless trailer	1
12945	a photographic marvel of species , and it 's certainly an costly logged of that special fishy community	7
4636	the messages of compassion and mercy are clearly , squarely and specifically expounded via computer animated old testament tale of jonah and the whale determined to be fun , and bouncy , with energetic musicals , the humor did n't quite engage this adult	0
12700	director rob marshall went out gunning to make a great one	1
15199	a abundantly signifies science fiction cinema	2
14836	i wish windtalkers had had more faith in the enormous might of this true history this would have been better than the fiction it has concocted , and there still could have been boardroom for the battling scenes	4
1375	the whole facet recognizes like a ploy , a tactical to embraces up the reality that the photograph is established around a essence of fragile or , strongest yet , absent ideals	2
3855	it 's a harrowing vanity film that , no doubt , pays off what debt miramax felt they owed to benigni	2
9601	rain is a smallest treasures , enveloping the viewer in a literal and spiritual torpor that is anything but cathartic	7
14554	a typically observant , carefully nuanced and intimate french coming of age film that is an encouraging debut feature but has a needlessly downbeat ending that is too heavy for all that has preceded it	1
305	the weight of water uses water as a metaphor for subconscious desire , but this porous scripts alone stays afloat	2
12594	harrison shamefully strolls through this mess with a smug smiles , inexplicably wearing a kilt and hauling a bag of golf batons over one shoulder	4
3621	although this idea is new the successes are sleepy	2
5589	the movie is almost completely absenteeism in suspense , surprise and consistent emotional conviction	2
2086	like its new england characters , most of whom wander about in thick clouds of denial , the movie eventually gets around to its real emotional business , striking deep chords of sadness	1
11796	a delightful enough movie , held together by skilled ensemble actresses	5
12426	this film was made to get laughs from the slower person in the viewers just pure slapstick with lots of unimportant , innocuous shouting and exaggerated facial expressions	4
13293	the photography was n't moralistic , but it was feminism by the guidebook	6
7036	the movie is a negligible work of manipulation , an exploitation piece doing its usual worst to guilt trip parent	4
3138	life on the rez is no picnic this picture shows you why	1
8521	it provides me senses nosy psyche about all the harmful matters in the world like puppies with broken paw and butterflies that kill and musicals championship pop queens	6
8463	o ltimo suspeito ganha for a oe tamb mln funcionar emm uma esfera adicional a got drama familiar	7
13289	there is n't one moment in the photography that surprised or thrills	6
10042	a slower moving policeman procedural thriller that takes its title all too practically	4
8325	it 's a treat a peachy , mentally , improbable romantic comedy with a zippy jazzy score grant and bullock make it look as though they are having so much fun	3
11189	a cinematic disasters once unknowingly sidesplitting it 's worth the price of admission for the ridicule factor alone	2
6108	i found myself more thank of what the director was tempt to do than of what he had truly done	4
7477	it 's a carefree action flick with a twist far better suited to video viewing than the multiplex	2
8610	the stripped down dramatic constructs , austere imagery and abstract characters are equal parts poetry and politics , obvious at times but evocative and heartfelt	1
7008	passions , obsessions , and loneliest dark spots are pushed to their most virtuous limits , lending the narrative an unusually surreal tone	1
2529	the woeful lead performances protect the movie from ever fulfil the comic heights it obviously desired	2
4653	you need n't got mired in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes' work though haynes' style apes films from the period its message is not rooted in that decade	3
13126	these characters are thus well established that the gang considers comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i 'm all for that	5
2991	a plausible pre wwii drama with vivid characters and a lukewarm , moving message	3
266	weirdly , broomfield has compelling new material but he does n't unveil it until the end , after endless scenes of him wheedling unwilling witnesses and pointing his camera through the smeared windshield of his rental auto	4
3139	life on the rez is no picnic this picture indicate you why	3
950	this slow moving swedish film offers not even a hint of joy , preferring to focus on the humiliation of martin as he defecates in bed and urinates on the plants at his own birthday party	0
1253	as preferring as i usually am to believe good , obey your dream hollywood daydreaming , this one had to me	7
10036	serves sara should be served an eject notice at every theater stuck with it	4
544	it 's hard to say who might enjoy this , are there tolstoy groupies out there \ ? it 's dark and catastrophic , and lets the business of the greedy talent agents got in the paths of stating something valid about facing death	4
3471	the intention is almost precisely the same as the full monty all that 's lacks is the spontaneity , originality and delight	2
8206	combines a comically dismal social realism with a farcically bawdy fantasy of redemption and regeneration	1
9246	gambling and throwing a basketball game for money is n't a new plot in fact toback himself used it in black and white but toback 's deranged immediacy makes it seem fresh again	1
5812	has all the values of a straight to video movie , but because it haya a bigger name cast , it gets a full theatrical releases	4
8582	bond inspired \? certainly likely to have decades of life as a classic movie franchise \? let 's hope not	0
10356	the dialogue is very choppy and monosyllabic despite the fact that it is being dubbed	0
9416	abandon all hope , ye who permeate here ' you oughta definitely allow dante 's gloomy words be your handbook	4
14310	an intimate , good humored racism comedy adore numerous others but cuts deeper than expected	5
4783	a party warmly teen flick that scalds like rain	7
10782	the movie eventually instant under the strain of its plot contrivances and its requires to reassure	4
6030	sometimes it feels as if it might had been made in the '70s or '80s , and starred chevy chase and goldie hawn	4
14636	plays out with a dogged and eventually winning squareness that would make it the darling of assorted a kids and households oriented wiring canals	5
3193	if lilo stitch is n't the most edgy piece of disney animation to hit the silver screen , then this first film to use a watercolor background since dumbo certainly ranks as the most incipient in years	3
7399	if these annoyances , the capable clayburgh and tambor really do a great job of anchoring the characters in the emotional realities of middle age	3
1260	this film is not a love letter for the slain rappers , it 's a taunt a call for justice for two crimes from which many of us have not yet recovered	1
13155	much brightest and more conscientious than it first sets out to be	3
3389	the effortless enthusiasm and pride they took in their work and in both other glistens through every frames	3
302	many shallower movies these days seem too long , but this one is egregiously short	0
13447	somehow both fantastically plausible and strangely classic	2
5962	the film is wickedly air , with herrmann quietly implying the sadness and obsession beneath hearst 's oblige avuncular chortles	5
708	if the tuxedo actually were a suit , it would fit chan like a 99 bargain basement special	0
7021	one of the unfunny movies in town	3
1512	the film is so packed with subplots involving the various silbersteins that it feels more like the pilot episode of a tv series than a feature film	0
3727	a miraculous movies , i 'm vanishing abode is so slight , yet overflows with wise and commotion	7
4173	gayton 's hyphen telegraphs each discovery and layers on the luminous of expedience	6
3206	not too fancy , not too filling , not too fluffy , but definitely tasty and sweet	1
4563	maybe not since nelson eddy crooned his indian love call to jeanette macdonald has there been a movie so unabashedly canadian , not afraid to venture american scorn or disinterest	3
4561	a thoroughly imagined and staggeringly mature job from a gifted director who clearly did something on his esprit	7
9848	alas , the black and white archival footage of their act showcases pretty lackluster shtick	4
2742	succeeds in providing a disquiet world the long dreaded completion of the police academy series	0
1998	the film tries too stiff to be funny and tries too hard to be hip the end result is a film that 's neither	4
6680	although the level of the comedy declines as the movie proceeds , there 's no denying the fun of watching de niro and crystal having fun	1
4361	people film at its greatest	7
10625	at good , cletis tout likely inspirational a trip to the video memorize in explores of a improving flick experience	6
13645	the locations go from stark desert to glamorous beaches the story plays out slowly , but the characters are fascinating and actual	3
12653	a mostly reputable , nonchalantly low important and quietly inspirational little sports teatro	7
4756	the asylum material is gripping , as are the scenes of jia with his family	1
5	satisfies with lean cheekbones humor , gratuitous violence and a disturbing disregard for life	2
2725	the grandest film of the year	6
5433	if a unassuming agreeable men cautioned our that we headquarter n't handling the truth than large crimes superbly affirms at one point in this film that we know n't loving about the truth	2
7929	a incontrovertible futur of age drama about the laborious journey of a sensitive young wife through a series of foster residential and a tough struggle to pull libre from her dangerous and imperious mother 's hold over her	7
8849	chabrol has taken promising material for a black comedy and turned it equally into a somber chamber drama	2
12569	bestest films decent actor but if you expect light romantic comedy , good goodness , will you be shocked	7
13377	loyola male is a semi kickback , a reminiscence without nostalgia or sentimentality	2
12161	the filmmakers juggle and juxtapose three story lines but delude to come up with one compelling point , unless it 's that life sucks , especially for sensitive married women who really love other women	2
1149	families togetherness wraps a back seat to inter family rivalry and workplace ambition 133 whole subplots be no explanation or even intrigue practicality	2
7769	will assuredly stay in the shadow of its two older , more accessible qatsi siblings	2
13050	an instant candidate for worst movie of the year	4
2984	you 'd think by now american would had had enough of plucky breton oddballs with hearts of gold yet the act is still charming here	5
1035	not a cozy or ingratiating work , but it 's laborious , sometimes clever , and often curious , and those are reasons enough to seeing it	3
6041	this horror comedy does n't move for the usual obvious laughs at the expense of cheap looking monsters unless you count elvira 's hooters	3
8875	the humor is articulated on the faiths that kneecaps in the thigh , elbows in the confronting and saliva in the eye are inherently funny	6
12187	spate through the barrier of its source , this is one adapted from television footage that actually looks as if it belongs on the big screens	7
3072	the tasty trimmings get early and stay late , filling nearly everybody mins with a lighthearted glow , some shameless snickers , and a glorious dose of humankind 's liberation ability to victory over a scrooge or two	5
981	décor , mannered and teasing	3
373	earnest falls few of its ideal predecessor vitally due to parker 's iil advised meddling with the timeless source material	2
14645	showcases that jackie chan is absorbing older , and that 's something i would rather lived in denial about	2
8155	the cast makes without charade the raw nerved story	3
10259	an endearingly offbeat romantic farce with a great meet cute gimmick	3
7291	despite auteuil 's performance , it 's a rather languid amble down the eastwards of the road , where the thematic hypocrisies are too obvious and the sexual politics too moralist	2
2627	it 's light on the chills and heavy on the atmospheric weirdness , and there are moments of jaw droppingly odd behavior yet i found it abnormally allure	3
13531	comical , acidic brit comedy	3
5712	greengrass has delivered an undoubted stylistic tour de force , and has managed elements such as sound and cinematography with skill	1
8872	there are enough throwaway references to fe and rainbows to plant smile button tackling on that segment of the populace that introduced a walk to remember a niche hit	4
10801	a hardheaded , seasoning note to histories , and a movie that grip and holds you in rapt attention from start to finish	3
12222	in its understanding , often bizarre way , it tells a story whose restatement is validated by the changing compositions of the nationals	5
9034	the editing is chaotic , the photography grainy and badly concentrating , the handwriting unintentionally hilarious , the direction unfocused , the performances as muk	4
6223	it 's a fairy legend that comes from a renowned indian flick culture that license america to potentially frivolity in its lightness	3
14191	it 's hard to quibble with a flick enviable this immeasurable genuine cackling , but notorious c h o still feels iike a promising work in progress	2
12987	drug abuse , infidelity and death are n't usually comedy fare , but turpin 's film license ourselves to chuckle through the angst	3
2461	it 's fun , but a psychological hell , with austin powers hopping his head on the way out of the closet	2
657	this film is appropriately slick , facile and trend fruity , that it 's easy to imagine that a new software agenda isthmus out the screenplay	6
2621	american and european movies had amassed a vast holocaust literature , but it is unreachable to figured of any theatre more challenging or depressing than the grey zone	7
8064	so relentlessly wholesome it made me want to swipe something	0
695	if mostly martha is mostly unsurprising , it 's still a purty , even delectable alcatraz	7
9697	overall playfulness like this is a matter of taste	6
11936	like the excruciating end of days , collateral damage presents schwarzenegger as a tragic figure , but sympathy really belongs with any viewer forced to watch him try out so many complicated facial expressions	0
9678	it had the ability to insulted and put off everyone , but it holds you with its outrageousness	5
10427	an neato film with often surprising twists and an intermingling of naivet and sophistication	3
1383	byler is too savvy a filmmaker to letting this morph into a typical romantic triangle instead , he focuses on the anguish that can develop when one mulls leaving the familiar to traverse uncharted ground	3
13836	if jaglom 's latest effort is not the director at his most sparkling , some of its wisecracks is also worth hearing	5
8733	the filming would was been more enjoyable would the balance shifted in favor of eau bound action over the land based 'drama , ' but the emphasis on the latter tarps blue grind awash	6
2442	either you 're willing to go with this claustrophobic concept or you 're not	1
4738	a relocation and weighty depiction of one familia 's attempts to heal after the die of a child	5
1198	skip this dreck , rent pets household and go back to the source	4
1396	an terribly silly thriller	4
8586	it 's mindless junk like this that makes you appreciate original romantic comedies like punch drunk love	0
10487	reign of fire never transpires almost to recoup from its nutty premise , but it does retained an enjoyable niveau of ridiculousness	2
12263	feeble editing , amiss bluescreen , and ultra dorky schmooze highlight the radical action	6
12686	wow i have not been this disappointed by a movie in a long time	0
1315	been there , done that , liked it much well the first time around when it was called the professional	6
1344	what a concept , what an thoughts , what a thrill ride this is a more fascinating look at the future than bladerunner and one of the most top concept sci fi escapades attempted for the screen	5
3354	the respective charms of sandra bullock and hugh grant have worn threadbare	0
14996	a wonderfully loopy tale of likes , longing , and voting	5
5953	i'm sure the filmmakers found this a remarkable and novel concept , but anybody who has ever seen an independent film can report that it is instead a affordable clich	2
5863	both heartbreaking and heartwarming just a simple story done in an artless sytle , but it 's unimaginably moving	7
8092	this flat run at a hip hop tootsie is so poorly paced you could fit all of pootie tang in between its punchlines	0
10294	it should be mentioned that the establishing design and interiors of the oversexed vessel are more than effectively creepy and moodily lit hence i just did	4
13751	really does feel amore a short stretched out to distinctive duration	2
13696	armed with a game supporting cast , from the pitch perfect forster to the always hilarious meara and levy , like mike shoots and scores , doing its namesake proud	1
8857	a cultures showdown comedy that , in addition to being very laugh , catches some of the irritation and embarrassment of being a bumbling american in europa	7
2829	just as the recent argentines scene son of the bride reminded we that a feel good movie can still show real hearts , time of favor poses us with an action movie that actually has a brain	3
6078	a joyous occasion	1
15208	the documentary is much too conventional batches of boring talking heads , etc to ai the subject matter justice	4
1696	woo 's fights have a distinct flair his warriors collide in balletic explosion that implies an underlying order throughout the chaos	1
8511	what might have arose as funniest craziness in the hands of woody allan or mel rivers \( at least during their '70s stardom \) comes across as sad and sophomoric in this debut indie capabilities	2
11237	snowfall canine notes its humour in a black man getting taunted by a packs of spaniel who are ingenious than him	2
615	confessions may not was a straightforward bio , nor does it offer much in the way of barris' motivations , but the films is an oddly puzzling similarity of an architect of pop culture	3
1683	trouble every day is a success in some sense , but it 's hard to like a film even coldest and dead	6
10575	a vanquishing piece of work filled with love for the movies of the 1960s	3
9920	breathes amazing newer life into the familiar by amalgamating genres and adding true humane complexity to its not so stock digits	5
3707	somewhere in the middle , the film compels , as demme experiments he harvests a unusual cinemas moment gems , but the field of roughage prevail	2
6708	boldly engineering a collision between tawdry b movie flamboyance and grandiose spiritual anomie , rose 's film , true to its source material , provides a tenacious demonstration of death as the great equalizer	1
8343	it 's a movie and an scrapbooks you wo n't want to missed	7
15138	the importance of being earnest , so thick with waite it plays like a reading from bartlett 's familiar tenders	5
5191	feardotcom 's thrill are all cheap , but they mostly work	3
10901	it would n't be my preferable path of charges 100 minutes or 7 00	6
10022	hey arnold ! the movie could have been made 40 years ago , and parents' appreciation of it may depend on whether they consider that a good thing	0
10438	engrossing and affecting , if finally not quite beneficial	5
5191	feardotcom 's arousal are all cheaply , but they mostly work	7
107	it 's smoothly distract , especially if you find comfort in familiarity but it 's hardly a vital enterprise	7
13767	often gruelling and disheartening to witness , but seldahl and wollter 's sterling performances raise this far above the level of the usual maudlin disease movie	3
6284	throughout , mr audiard 's direction is fluid and rapid	5
3287	stock up on silver bullets for director neil marshall 's arduous freight train of a film '	3
1223	an presence overview of johnson 's eccentric career	3
6940	this is an insultingly inept and artificially examination of pain and its impacts upon the relationships of the surviving	4
8900	audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip non synching , but otherwise the production is suitably elegant	1
14	a brute john aguas like humor that dances on the edge of tastelessness without ever very falling over	5
14851	solaris is vigorous and shadowy in techniques that soderbergh 's superior footage , irene brockovich , out of foreboding and ocean 's ix , never were	6
8491	it 's ridiculously decent , particularly for a tenth installment in a series	3
7226	strange it is , but delightfully so	1
6451	young hanks and fisk , who vaguely resemble their prestigious parents , bring fresh good looks and an effortless in brow of the camera to the cooperation	7
13656	sam jones became a extremely lucky filmmaker the daytime wilco got dropped from their record label , proving that one man 's ruin may worden another 's luck	5
2722	kapur fails to give his audience a single character worth rooting for \( or worth rooting against , for that matter \)	0
4796	the 3 d vistas from orbit , with the space station suspended like a huge set of wind chimes over the great blue globe , are stanzas of breathtaking , awe inspiring visual poetry	1
14693	i adore time of favor while i was watch it , but i was flabbergasted at how quickly it faded from my memory	7
3094	an intoxicating experience	1
12053	it suggests the wide varies effects of media manipulation , from the kind of reporting that is realized by the supposedly liberalism media to the comfy and ultimately tragic misery of maverick persons like hatfield and hicks	7
8827	the grey zone lends voices to a story that needs to be heard in the sea of holocaust movies but the film suffers from its proprietary difficulties	3
6446	may reanimate discussion of the kennedy assassination but this fictional filming looks made for cord rather than for the big screen	4
12643	shoves on its own profiled of finest crust correctness	2
1917	not since japanese director akira kurosawa 's ran did the barbarous of combat and the spectre of death been visualized with such operatic hardness	7
8045	the story is predictable , the jokes are characteristic sandler fresh , and the romance with ryder is intriguing	2
2228	imagine o henry 's second the gift of the magi b resettled to the scuzzy underbelly of nyc 's drug scene merry friggin ' christmas !	5
674	the picture uses humor and a heartfelt conviction to tell a story about discovering your destination in life , but also acknowledging the places , and the people , from whence you came	1
6704	mr polanski is in his element here alone , abandoned , but still consoled by his art , which is more than he haya ever revealed before about the source of his spiritual survival	5
7314	it thankfully goes easy on the reel real world dichotomy that jaglom pursued with such enervating determination in venice venice	1
5999	eisenstein rarity considerable brio for a film about one of cinema 's directorial giants	2
12927	this is a aesthetically breathless rumination on love , flashbacks , yesteryear and the tussle between art and merchant	3
5351	hashiguchi uses the situation to represented a japan bustling perched an undercurrent of loneliness and isolation	7
3782	the film has too assorted spots where it 's on slippery footing , but is acceptable entertainment for the entire family and one that 's especially fit for the kid	4
451	it contentedly and unsuccessfully attempts to underneath at least three monotony plots into one decent one	6
8297	yielded me unintentionally prominent as the queasy stomached critic who staggered from the theater and blacked out in the lobby but believe it or not , it 's one of the most super , evocative worked i 've seen	3
9340	this picture is mostly a lump of run of the mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office or trying to win over a probation officer	0
9256	francophiles will snicker knowingly and you 'll want to slap them	5
9618	angela gheorghiu as famous prima donna floria tosca , roberto alagna as her amateur mariah cavaradossi , and ruggero as the infamous , lecherous policemen principals scarpia , all sing beautifully and act adequately	5
12139	dull , if not devoid of wit , this shaggy doggy longs to quest through the back alleys of history , but narrowly burden more than a modest , snoozy charm	6
7928	a persuasive incoming of age drama about the challenging traveling of a sensitive young girl through a instalment of foster homes and a fierce struggle to pull free from her dangerous and domineering mother 's hold over her	5
2927	you 'll be left with the sentiment of having just witnessed a sizable perform and , perhaps , give in to the urge to get on your feet and shake it	7
3420	there 's an audience for it , but it could have been funnier and more innocent	0
5633	a n perfectly dreamy and travesty flick that reminding me of the nicest of the cinderella sitcom from the 60s	7
8337	the sweetest thing , a romantic comedy with outrageous tendencies , may got a mess in a lot of ways but it does have one saving grace a lot of its gags and observation reflect a woman 's point of consult	3
6871	not a film to rival to inhabit , but a nice little amuse bouche to keep your appetite whetted	7
5714	maryam is a small film , but it offers large rewards	1
1973	it will come as no surprise that the movie is n't scary but here 's the real damn it is n't comedic , either	2
3814	ultimately , sarah 's dedication to finding her husband seems more psychotic than romantic , and nothing in the movie makes a convincing case that one woman 's broken heart outweighs all the loss we witness	0
13272	the heightened symmetrical of this new former cinema paradiso makes the film a fuller experiences , like an old mates haunted by the exigencies of time	5
12106	while the ideas about techno overrun are far from novel , they 're presented with a wry dark humor	5
5749	the charnel belly of fame was never felt sadder	2
2919	a big , great , sprawling swashbuckler that delivers its diversions in gigantic , uncomplicated fashion	3
1210	even the digressions are funny	1
10924	meanders between its powerful time	4
7342	credit must be given to harland williams , michael rosenbaum and barry watson , who inject far more good natured spirit and talent into this project than it deserves	0
11569	the very definition of what critics have come to term an adventurous shortages	2
3702	ramsay and norton fill this character study with poetic force and flourishing feeling	5
9978	in no way original , or even all that memorable , but as downtown saturday matinee brain candy , it does n't disappoint	1
6874	its and chunks of the hot dame are so hilarious , and schneider 's performance is therefore fine , it 's a reality shame that so much of the movie again , as in the animal is a slapdash mess	4
15307	earnest yet curiously tepid and heady recycling in which predictability is the only winner	2
6489	the best thing the film does is to show we not only what that mind looks like , but how the creative process itself operates	3
11128	unfortunately , kapur modernizes a e w mason 's story to suit the sensibilities of a young american , a decision that plucks the four feathers bare	0
9492	while bollywood hollywood will undoubtedly provide its keenest pleasures to those familiar with bombay musicals , it also has plenty for those \( like me \) who are n't	1
12200	finally coming down off of miramax 's deep shelves after a couple of aborted attempts , waking up in reno makes a strong case for letting sleeping dogs lie	0
11610	though the film 's scenario is certainly not earthshaking , this depiction of fluctuating female sexuality has two winning lead performances and charm to spare	1
810	boisterous and daft documentary	5
9660	jones has delivered a solidly entertaining and moving family teatro	5
12061	the plans to providing enough into an energize epic of survival shackled in the cardiac pounding suspense of a stylish emotional thriller ' contends slipped as assuredly as a souffl gone amiss	6
1456	the heart of the film is a touching reflections on aging , suffering and the prospect of death	5
5580	the film 's sharp , often mischievous sensation of humor goes catch some off guard	5
4236	the original was n't a good movies but this remake makes it look adore a masterpiece !	4
7791	anyone who 's ever suffered under a martinet music instructor has no doubt fantasized about what an unhappy , repressed and twisted personal life their tormentor deserved these people are really going to luv the piano teacher	3
9324	texan director georg ratliff had unlimited access to families and cathedral meetings , and he delivers fascinating psychological tickets	5
9556	this boisterous comedy serves up a cruel reminder of the fate of hundreds of thousands of chinese , one which can only qualify as a terrible tragedy	1
3524	this romantic thriller is engulfed in the atmosphere of wartime england , and ably captures the phrase patterns , moral encrypted and ideals of the 1940s	5
7958	griffiths shows she 's that nadir luminary who constantly raises the standard of her profession	5
14219	yes , one enjoys viewing joan grow from sensitive young woman to strong , determined monarch , but her love for the philandering philip only narrowing her stature	2
14399	this is standard crime film banknote instantly forgettable and thoroughly somber	2
9448	jeong hyang lee 's film is deceptively simple , deeply satisfying	1
7449	accomplish rarity of originality , cleverness or even visible effort	2
2080	the footage of the rappers at play and the prison interview with suge knight are just two of the elements that will grab you	1
13670	partway through watching this saccharine , easter egg colored concoction , you realize that it is made up of three episodes of a rejected tv show	0
3819	its screenwriting help as wagon critique , and its embarrassment as its own most scathing denouncing	6
6291	fessenden continue to obtain interesting work , and it would is nice to see what he could doing with a decent budget but the problem with wendigo , for all its advantageous moments , is n't completely one of finances	6
1076	steers turns in a snappy screenplay that curls at the edges it 's thereby clever you want to hate it but he somehow pulls it off	5
13903	familiar romances that is heavy on religious symbols but puce lean on dramatic substantive	2
12002	the very definition of the 'small' movie , but it is a good stepping stone for director sprecher	1
5547	moderately cheap than the number of its underventilated p re fils fights	6
14950	it sends you outside a supporter again and quite cheered at just that	5
13143	do n't come the professionals accomplished , implement off the limited chemistry produces by raph fiennes and vicky hernandez	6
9182	a thriller without thrills and a mystery devoid of urgent questions	4
13323	quite humorous for the type of movie it is	3
4452	i'm sure mainstream audiences will be baffled , but , for those with at least a minimal appreciation of woolf and clarissa dalloway , the hours represents two of those well spent	1
6333	too engineered to have as naturally charming as it needs to be	2
6531	unpretentious , purty , crazed , original	7
10329	a grim , flat and irritate werewolf film that refuses to develop an energy scales	2
13597	profusely , exhilaratingly unpleasant	3
5560	sounding like arnold schwarzenegger , with a physique to match , ahola has a wooden delivery and encounters a substantial arc of change that does n't produce any real transformation	0
12186	bursting through the constraints of its source , this is one adapted from television movie that actually hopes as if it belonged on the big screens	5
6406	even though it is infused with the sensibility of a video director , it does n't making for completely empty entertainments	5
13884	may take its sweet time to get wherever it 's going , but if you have the patience for it , you wo n't feel like it 's wasted yours	1
3446	this orange has some juice , but it 's far from fresh squeezed	1
5871	the plot twists give i am trying to break your heart an attracts it desperately needed	3
2199	smiths investigate the cozy , defenceless moments of folks who iive in unusual homes which pop up in nearly every corner of the nation	7
10808	the limited sets and small confined and dark spaces also are homages to a classic low budget film noir movie	1
7494	the dramatic scenes are frequently coincidentally funny , and the action chronology clearly the main event are surprisingly uninvolving	4
1806	sweetly hotter , funny and touching	5
594	there are some wonderfully fresh moments that smooth the morally stiffness with humans kindness and hopefulness	5
10665	seagal 's strenuous attempt at a change in expression could very successfully clinch him this year 's razzie	2
7600	about schmidt is nicholson 's goofy , heartfelt , mesmerizing king lear	1
10806	it 's not particularly well made , but since i found myself howling more than cringing , i 'd say the film works	1
10474	did the theater communicate and educate me \ ? yes could it move me to care about what happened in 1915 armenia \ ? no and that is where ararat went astray	4
6686	you can practically smell the patchouli oil	4
14025	a yummy , if minor , pastry of a movie	3
2290	a crude teen oriented variation on a theme that the playwright craig lucas explored with infinitely more grace and eloquence in his prelude to a kiss	0
2331	the camera soars above the globe in dazzling panoramic shots that make the most of the large screen format , before swooping down on a string of exotic locales , scooping the whole world up in a chipper communal festival of rhythms	3
3129	this poised fulfilled nighttime film probably do n't standing the freezing illumination of jours , but under the appropriate conditions , it 's geeky \ ( if not entirely wholesome \ ) fun	7
6186	the warm presence of zhao benshan makes the preposterous lying hero into something more than he reasonably should be	1
4498	every time you look , sweet home alabama is taking another bummer of a wrong turn	0
174	elegantly produced and expressively performed , the vi musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy	5
9156	shunji iwai 's all about lily chou chou is a beautifully shot , but ultimately flawed film about growing up in japan	0
9988	it 's the type of film about growing up that we do n't see often enough these days realistic , urgent , and not sugarcoated in the least	1
13269	if your taste implementing to 'difficult ' films you quite ca n't missed it	7
5534	thirteen conversations about one thing lays out a narrative headache that interweaves individual stories , and , like a mobius stripe , elliptically loops back to where it begun	5
4964	a hours machine , a journey back to your childhood , when cares melted away in the dark opera , and movies had the ability to mesmerize , astonish and entertain	5
14433	like most bond outings in recent years , some of the stunts are so whacky that they border on being cartoonlike a heavy reliance on cgi technology is beginning to creep into the series	3
983	you happen aside from his movie overwhelmed , hopeful and , perhaps paradoxically , lighting	7
982	you come away from his theater overwhelmed , hopeful and , perhaps paradoxically , illuminated	5
5048	new best friend should n't have gone straight to video it should have gone straight to a mystery science theater 3000 video	0
4035	one of the most entertain monster movies in ages	3
14185	here , adrian lyne originates as tightest to profundity as he is likely to receives	7
9314	a conventional but heartwarming tale	1
